individualID,plotID,siteID,taxonID,plntStt,ntrgnPr,crbnPrc,CNratio,extrCAC,extrCBC,extrcCC,lgnnPrc,clllsPr,lfMssPA,dryMssF,geometry,elevation,stemDiameter,height
BONA.01450,BONA_002,BONA,PIMA,OK,1.31,47.8,40.2,15.993,4.982,3.122,9.73,13.14,252.718765,0.452131638,"list(c(-147.527066648358, -147.527082401457, -147.527084366871, -147.527074108763, -147.527062940398, -147.527044932066, -147.527028142371, -147.527020611349, -147.527016208664, -147.527023174968, -147.527027867473, -147.527041855786, -147.527050568303, -147.527055279375, -147.527066648358, 65.1634419545538, 65.163443097689, 65.1634493442043, 65.1634591085842, 65.1634634581373, 65.163465234759, 65.1634660929826, 65.1634648542922, 65.1634604445675, 65.16345560131, 65.1634508447594, 65.1634496573981, 
65.1634443115889, 65.1634423880892, 65.1634419545538))",484.21,16.7,5.9
BONA.03044,BONA_008,BONA,BENE4,OK,2.48,48.4,21.4,29.813,9.789,6.877,15.75,11.28,61.820369,0.408056581,"list(c(-147.569475721169, -147.569480870282, -147.569445570926, -147.569394944333, -147.569380563321, -147.569392414337, -147.569435190438, -147.569475721169, 65.1566662504047, 65.1566897140844, 65.1567152923057, 65.1567166704293, 65.1566980676583, 65.1566807123647, 65.1566573825613, 65.1566662504047))",424.24,10,8.8
BONA.03037,BONA_008,BONA,BENE4,OK,2.1,47.3,24.6,13.046,4.474,2.971,15.75,11.28,55.662828,0.365212822,"list(c(-147.569242942815, -147.569254236471, -147.569273878536, -147.569286175732, -147.569306023832, -147.56932043722, -147.56932878564, -147.569336227466, -147.569331815695, -147.569323062449, -147.569308874482, -147.56929258971, -147.569276137679, -147.569254379409, -147.569242525811, -147.569234158009, -147.569225475081, -147.569227828848, -147.569234987076, -147.569242942815, 65.1566070322787, 65.1565996279594, 65.1565970821175, 65.1565956146497, 65.1565992354188, 65.156602865422, 65.1566077238977, 
65.1566195883694, 65.1566281230309, 65.1566332389786, 65.156638364162, 65.1566409804393, 65.1566426072391, 65.156640055606, 65.1566367257884, 65.1566292787362, 65.1566224413031, 65.1566165748795, 65.1566119184595, 65.1566070322787))",424.24,21.5,13.4
BONA.03056,BONA_008,BONA,PIGL,OK,1.18,48.2,44.7,18.682,6.382,3.415,12.97,11.91,336.784859,0.516531962,"list(c(-147.569162921357, -147.569164402667, -147.569173807728, -147.56918814604, -147.569201013646, -147.569198712754, -147.569186081171, -147.569179536622, -147.569172372766, -147.569168871736, -147.569164255403, -147.569159628467, -147.569154188617, -147.569150138575, -147.569156925821, -147.569162921357, 65.1566914940559, 65.1566907834539, 65.1566855193133, 65.1566850784353, 65.1566867643117, 65.1566948070759, 65.1567012846108, 65.1567031700732, 65.1567040985889, 65.156703688015, 65.156706153331, 
65.1567072024934, 65.1567047959111, 65.156701137405, 65.1566966274488, 65.1566914940559))",425.77,25,18.8
BONA.03032,BONA_008,BONA,PIGL,OK,3.12,48.3,17,14.991,5.049,2.955,14.19,14.87,278.834411,0.44639103,"list(c(-147.569434525325, -147.569434134536, -147.569413624094, -147.569396442343, -147.569371255918, -147.569371228491, -147.569405746233, -147.569434525325, 65.1566289583738, 65.1566371420831, 65.1566452523243, 65.1566450661876, 65.1566325114151, 65.1566288506259, 65.1566196398649, 65.1566289583738))",424.24,31,20.3
BONA.03038,BONA_008,BONA,POTR5,Insect damaged,1.25,48.1,42.4,25.232,8.344,6.439,14.18,15.06,63.966991,0.412749004,"list(c(-147.569212337431, -147.569208571676, -147.569209443125, -147.569209590996, -147.569212382289, -147.569213893685, -147.569217000106, -147.569221794872, -147.569237597242, -147.569242864699, -147.569250849511, -147.569261320182, -147.56926764573, -147.56927277501, -147.56928039015, -147.569284406792, -147.569285548515, -147.569282692983, -147.56927591413, -147.569272000505, -147.569264572009, -147.569260658383, -147.569256567806, -147.569254583719, -147.569252766889, -147.569250708867, -147.569248084831, 
-147.569243614884, -147.569239061309, -147.569237372962, -147.569236388807, -147.569234218076, -147.569229896, -147.56922175362, -147.569218396313, -147.569217097031, -147.5692126077, -147.569212337431, 65.1565917239673, 65.1565904741316, 65.1565894448239, 65.1565878457303, 65.1565870415672, 65.1565860873076, 65.1565846735261, 65.1565845892448, 65.1565815931184, 65.1565805944095, 65.1565795910833, 65.1565796874954, 65.1565812375217, 65.1565831321896, 65.1565861265959, 65.1565888606431, 65.156591904117, 
65.1565948021128, 65.1565967550833, 65.1565971043424, 65.15659768798, 65.156598037239, 65.1565961027378, 65.1565979714252, 65.1566008295883, 65.1566034978228, 65.1566052914624, 65.1566060604108, 65.1566063346213, 65.1566050051209, 65.1566016568369, 65.1565999474794, 65.1565991173335, 65.1566004254683, 65.1566003550369, 65.1565976163712, 65.1565957967496, 65.1565917239673))",424.24,20,11
BONA.03593,BONA_093,BONA,PIMA,OK,0.81,48.6,65.6,21.578,6.591,4.014,12.15,15.68,207.329742,0.490196078,"list(c(-147.504706534861, -147.50471409767, -147.504694155462, -147.504693552682, -147.504674312209, -147.504655999525, -147.504657129748, -147.504674768809, -147.504706534861, 65.1558289315399, 65.1558327415756, 65.1558376973512, 65.1558441165089, 65.1558457475408, 65.1558416466446, 65.1558296107253, 65.1558284403487, 65.1558289315399))",248.21,NA,1.1
BONA.01486,BONA_093,BONA,PIMA,OK,0.86,48.5,61.9,22.274,6.958,4.16,11.27,13.93,207.001736,0.470692718,"list(c(-147.504570417436, -147.504586708535, -147.504589707323, -147.504582049694, -147.504568593088, -147.504557029447, -147.504549648937, -147.504551723348, -147.504562379763, -147.504570417436, 65.1557522779874, 65.155756670481, 65.1557609146412, 65.1557670893375, 65.155768690522, 65.1557652078265, 65.155759386993, 65.1557553857606, 65.1557534552266, 65.1557522779874))",248.21,17.7,13.9
BONA.03599,BONA_093,BONA,PIMA,OK,0.83,48.5,64.3,17.018,4.971,3.323,12.78,16.08,233.348126,0.500296033,"list(c(-147.504720564018, -147.504719485544, -147.504702904721, -147.504693863087, -147.504664590239, -147.504657019567, -147.504656025466, -147.504692996052, -147.504695453255, -147.504720564018, 65.1558012141173, 65.1558085508291, 65.1558122794439, 65.1558159212848, 65.15581653459, 65.1558114256171, 65.1557929742989, 65.1557919683699, 65.1558003699406, 65.1558012141173))",248.21,13.2,9.1
BONA.03587,BONA_093,BONA,POBA2,Insect damaged,1.8,45.8,27.8,14.533,4.079,4.363,19.44,14.14,79.41514,0.393679364,"list(c(-147.504788909511, -147.504789606766, -147.504807737326, -147.504810519566, -147.50474395087, -147.504743737195, -147.504762018448, -147.504764206883, -147.504788909511, 65.1559611200098, 65.1559702881098, 65.1559707980373, 65.1559798868623, 65.155980818902, 65.1559720321794, 65.1559709373186, 65.1559614596149, 65.1559611200098))",250.57,15.5,9.4
